"","Tree_ID","site_ID","date_collected","UTM_zone","Easting","Northing","elevation_m","side_of_island","flow_age","site_elevation_m","approx_annual_rainfall_mm","approx_mean_annual_temp_deg_C","flow_type"
"1","w100y1","w100y","2009-11-18","NAD83 Zone 5",280572,2179971,92,"Wet","Young",100,3900,22.2,"pahoehoe"
"2","w100y2","w100y","2009-11-18","NAD83 Zone 5",280574,2179975,92,"Wet","Young",100,3900,22.2,"pahoehoe"
"3","w100y3","w100y","2009-11-18","NAD83 Zone 5",280588,2179975,91,"Wet","Young",100,3900,22.2,"pahoehoe"
"4","w100y4","w100y","2009-11-18","NAD83 Zone 5",280594,2179981,91,"Wet","Young",100,3900,22.2,"pahoehoe"
"5","w100y5","w100y","2009-11-18","NAD83 Zone 5",280608,2179985,91,"Wet","Young",100,3900,22.2,"pahoehoe"
"6","w100y6","w100y","2009-11-18","NAD83 Zone 5",280609,2179997,90,"Wet","Young",100,3900,22.2,"pahoehoe"
"7","w100y7","w100y","2009-11-18","NAD83 Zone 5",280621,2179993,90,"Wet","Young",100,3900,22.2,"pahoehoe"
"8","w100y8","w100y","2009-11-18","NAD83 Zone 5",280629,2179999,89,"Wet","Young",100,3900,22.2,"pahoehoe"
"9","w100y9","w100y","2009-11-18","NAD83 Zone 5",280640,2180000,89,"Wet","Young",100,3900,22.2,"pahoehoe"
"10","w100y10","w100y","2009-11-18","NAD83 Zone 5",280654,2180008,88,"Wet","Young",100,3900,22.2,"pahoehoe"
"11","w100o1","w100o","2009-11-16","NAD83 Zone 5",280545,2179780,98,"Wet","Old",100,3900,22.2,"pahoehoe"
"12","w100o2","w100o","2009-11-16","NAD83 Zone 5",280553,2179763,98,"Wet","Old",100,3900,22.2,"pahoehoe"
"13","w100o3","w100o","2009-11-16","NAD83 Zone 5",280572,2179780,97,"Wet","Old",100,3900,22.2,"pahoehoe"
"14","w100o4","w100o","2009-11-16","NAD83 Zone 5",280578,2179776,97,"Wet","Old",100,3900,22.2,"pahoehoe"
"15","w100o5","w100o","2009-11-16","NAD83 Zone 5",280583,2179770,98,"Wet","Old",100,3900,22.2,"pahoehoe"
"16","w100o6","w100o","2009-11-16","NAD83 Zone 5",280588,2179762,98,"Wet","Old",100,3900,22.2,"pahoehoe"
"17","w100o7","w100o","2009-11-16","NAD83 Zone 5",280602,2179783,97,"Wet","Old",100,3900,22.2,"pahoehoe"
"18","w100o8","w100o","2009-11-16","NAD83 Zone 5",280617,2179784,97,"Wet","Old",100,3900,22.2,"pahoehoe"
"19","w100o9","w100o","2009-11-16","NAD83 Zone 5",280622,2179788,96,"Wet","Old",100,3900,22.2,"pahoehoe"
"20","w100o10","w100o","2009-11-16","NAD83 Zone 5",280634,2179783,96,"Wet","Old",100,3900,22.2,"pahoehoe"
"21","w700y1","w700y","2009-07-17","NAD83 Zone 5",269366,2179142,725,"Wet","Young",700,5500,18.9,"pahoehoe"
"22","w700y2","w700y","2009-07-17","NAD83 Zone 5",269355,2179134,727,"Wet","Young",700,5500,18.9,"pahoehoe"
"23","w700y3","w700y","2009-07-17","NAD83 Zone 5",269346,2179153,728,"Wet","Young",700,5500,18.9,"pahoehoe"
"24","w700y4","w700y","2009-07-17","NAD83 Zone 5",269335,2179144,729,"Wet","Young",700,5500,18.9,"pahoehoe"
"25","w700y5","w700y","2009-07-17","NAD83 Zone 5",269326,2179150,728,"Wet","Young",700,5500,18.9,"pahoehoe"
"26","w700y6","w700y","2009-07-17","NAD83 Zone 5",269318,2179139,725,"Wet","Young",700,5500,18.9,"pahoehoe"
"27","w700y7","w700y","2009-07-17","NAD83 Zone 5",269305,2179148,730,"Wet","Young",700,5500,18.9,"pahoehoe"
"28","w700y8","w700y","2009-07-17","NAD83 Zone 5",269296,2179144,727,"Wet","Young",700,5500,18.9,"pahoehoe"
"29","w700y9","w700y","2009-07-17","NAD83 Zone 5",269279,2179155,727,"Wet","Young",700,5500,18.9,"pahoehoe"
"30","w700y10","w700y","2009-07-17","NAD83 Zone 5",269279,2179159,732,"Wet","Young",700,5500,18.9,"pahoehoe"
"31","w700o1","w700o","2009-07-15","NAD83 Zone 5",269391,2178309,731,"Wet","Old",700,5500,18.9,"pahoehoe"
"32","w700o2","w700o","2009-07-15","NAD83 Zone 5",269400,2178333,729,"Wet","Old",700,5500,18.9,"pahoehoe"
"33","w700o3","w700o","2009-07-15","NAD83 Zone 5",269420,2178326,719,"Wet","Old",700,5500,18.9,"pahoehoe"
"34","w700o4","w700o","2009-07-15","NAD83 Zone 5",269425,2178354,710,"Wet","Old",700,5500,18.9,"pahoehoe"
"35","w700o5","w700o","2009-07-15","NAD83 Zone 5",269445,2178325,725,"Wet","Old",700,5500,18.9,"pahoehoe"
"36","w700o6","w700o","2009-07-15","NAD83 Zone 5",269442,2178347,729,"Wet","Old",700,5500,18.9,"pahoehoe"
"37","w700o7","w700o","2009-07-15","NAD83 Zone 5",269463,2178334,727,"Wet","Old",700,5500,18.9,"pahoehoe"
"38","w700o8","w700o","2009-07-15","NAD83 Zone 5",269462,2178356,730,"Wet","Old",700,5500,18.9,"pahoehoe"
"39","w700o9","w700o","2009-07-15","NAD83 Zone 5",269474,2178362,730,"Wet","Old",700,5500,18.9,"pahoehoe"
"40","w700o10","w700o","2009-07-15","NAD83 Zone 5",269478,2178383,725,"Wet","Old",700,5500,18.9,"pahoehoe"
"41","w1100y1","w1100y","2009-07-23","NAD83 Zone 5",262242,2178443,1145,"Wet","Young",1100,4000,17.2,"pahoehoe"
"42","w1100y2","w1100y","2009-07-23","NAD83 Zone 5",262258,2178444,1142,"Wet","Young",1100,4000,17.2,"pahoehoe"
"43","w1100y3","w1100y","2009-07-23","NAD83 Zone 5",262271,2178447,1141,"Wet","Young",1100,4000,17.2,"pahoehoe"
"44","w1100y4","w1100y","2009-07-23","NAD83 Zone 5",262271,2178455,1139,"Wet","Young",1100,4000,17.2,"pahoehoe"
"45","w1100y5","w1100y","2009-07-23","NAD83 Zone 5",262288,2178454,1140,"Wet","Young",1100,4000,17.2,"pahoehoe"
"46","w1100y6","w1100y","2009-07-23","NAD83 Zone 5",262291,2178455,1139,"Wet","Young",1100,4000,17.2,"pahoehoe"
"47","w1100y7","w1100y","2009-07-23","NAD83 Zone 5",262308,2178462,1145,"Wet","Young",1100,4000,17.2,"pahoehoe"
"48","w1100y8","w1100y","2009-07-23","NAD83 Zone 5",262329,2178447,1141,"Wet","Young",1100,4000,17.2,"pahoehoe"
"49","w1100y9","w1100y","2009-07-23","NAD83 Zone 5",262327,2178453,1143,"Wet","Young",1100,4000,17.2,"pahoehoe"
"50","w1100y10","w1100y","2009-07-23","NAD83 Zone 5",262335,2178454,1143,"Wet","Young",1100,4000,17.2,"pahoehoe"
"51","w1100o1","w1100o","2009-07-23","NAD83 Zone 5",262044,2179752,1143,"Wet","Old",1100,4000,17.2,"pahoehoe"
"52","w1100o2","w1100o","2009-07-23","NAD83 Zone 5",262045,2179771,1144,"Wet","Old",1100,4000,17.2,"pahoehoe"
"53","w1100o3","w1100o","2009-07-23","NAD83 Zone 5",262048,2179771,1139,"Wet","Old",1100,4000,17.2,"pahoehoe"
"54","w1100o4","w1100o","2009-07-23","NAD83 Zone 5",262051,2179785,1145,"Wet","Old",1100,4000,17.2,"pahoehoe"
"55","w1100o5","w1100o","2009-07-23","NAD83 Zone 5",262048,2179796,1142,"Wet","Old",1100,4000,17.2,"pahoehoe"
"56","w1100o6","w1100o","2009-07-23","NAD83 Zone 5",262047,2179805,1140,"Wet","Old",1100,4000,17.2,"pahoehoe"
"57","w1100o7","w1100o","2009-07-23","NAD83 Zone 5",262054,2179817,1140,"Wet","Old",1100,4000,17.2,"pahoehoe"
"58","w1100o8","w1100o","2009-07-23","NAD83 Zone 5",262052,2179820,1141,"Wet","Old",1100,4000,17.2,"pahoehoe"
"59","w1100o9","w1100o","2009-07-23","NAD83 Zone 5",262045,2179799,1151,"Wet","Old",1100,4000,17.2,"pahoehoe"
"60","w1100o10","w1100o","2009-07-23","NAD83 Zone 5",262051,2179847,1151,"Wet","Old",1100,4000,17.2,"pahoehoe"
"61","w1800y1","w1800y","2009-07-15","NAD83 Zone 5",250957,2174888,1773,"Wet","Young",1800,2200,13.9,"pahoehoe"
"62","w1800y2","w1800y","2009-07-15","NAD83 Zone 5",250970,2174906,1772,"Wet","Young",1800,2200,13.9,"pahoehoe"
"63","w1800y3","w1800y","2009-07-15","NAD83 Zone 5",250981,2174891,1771,"Wet","Young",1800,2200,13.9,"pahoehoe"
"64","w1800y4","w1800y","2009-07-15","NAD83 Zone 5",250994,2174922,1767,"Wet","Young",1800,2200,13.9,"pahoehoe"
"65","w1800y5","w1800y","2009-07-15","NAD83 Zone 5",251001,2174904,1768,"Wet","Young",1800,2200,13.9,"pahoehoe"
"66","w1800y6","w1800y","2009-07-15","NAD83 Zone 5",251002,2174940,1764,"Wet","Young",1800,2200,13.9,"pahoehoe"
"67","w1800y7","w1800y","2009-07-15","NAD83 Zone 5",251017,2174909,1765,"Wet","Young",1800,2200,13.9,"pahoehoe"
"68","w1800y8","w1800y","2009-07-15","NAD83 Zone 5",251026,2174924,1763,"Wet","Young",1800,2200,13.9,"pahoehoe"
"69","w1800y9","w1800y","2009-07-15","NAD83 Zone 5",251040,2174890,1768,"Wet","Young",1800,2200,13.9,"pahoehoe"
"70","w1800y10","w1800y","2009-07-15","NAD83 Zone 5",251042,2174936,1762,"Wet","Young",1800,2200,13.9,"pahoehoe"
"71","w1800o1","w1800o","2009-07-15","NAD83 Zone 5",250367,2175257,1783,"Wet","Old",1800,2200,13.9,"pahoehoe"
"72","w1800o2","w1800o","2009-07-15","NAD83 Zone 5",250380,2175274,1786,"Wet","Old",1800,2200,13.9,"pahoehoe"
"73","w1800o3","w1800o","2009-07-15","NAD83 Zone 5",250384,2175247,1785,"Wet","Old",1800,2200,13.9,"pahoehoe"
"74","w1800o4","w1800o","2009-07-15","NAD83 Zone 5",250358,2175247,1792,"Wet","Old",1800,2200,13.9,"pahoehoe"
"75","w1800o5","w1800o","2009-07-15","NAD83 Zone 5",250408,2175251,1796,"Wet","Old",1800,2200,13.9,"pahoehoe"
"76","w1800o6","w1800o","2009-07-15","NAD83 Zone 5",250417,2175260,1790,"Wet","Old",1800,2200,13.9,"pahoehoe"
"77","w1800o7","w1800o","2009-07-15","NAD83 Zone 5",250391,2175265,1789,"Wet","Old",1800,2200,13.9,"pahoehoe"
"78","w1800o8","w1800o","2009-07-15","NAD83 Zone 5",250433,2175256,1786,"Wet","Old",1800,2200,13.9,"pahoehoe"
"79","w1800o9","w1800o","2009-07-15","NAD83 Zone 5",250460,2175247,1794,"Wet","Old",1800,2200,13.9,"pahoehoe"
"80","w1800o10","w1800o","2009-07-15","NAD83 Zone 5",250459,2175254,1778,"Wet","Old",1800,2200,13.9,"pahoehoe"
"81","w2400y1","w2400y","2009-07-19","NAD83 Zone 5",243112,2168331,2438,"Wet","Young",2400,1000,10.6,"pahoehoe"
"82","w2400y2","w2400y","2009-07-20","NAD83 Zone 5",242950,2167920,2482,"Wet","Young",2400,1000,10.6,"pahoehoe"
"83","w2400y3","w2400y","2009-07-21","NAD83 Zone 5",242880,2167851,2489,"Wet","Young",2400,1000,10.6,"pahoehoe"
"84","w2400y4","w2400y","2009-07-21","NAD83 Zone 5",243053,2167980,2470,"Wet","Young",2400,1000,10.6,"pahoehoe"
"85","w2400y5","w2400y","2009-07-21","NAD83 Zone 5",243059,2168536,2418,"Wet","Young",2400,1000,10.6,"pahoehoe"
"86","w2400y6","w2400y","2009-07-21","NAD83 Zone 5",243096,2168600,2403,"Wet","Young",2400,1000,10.6,"pahoehoe"
"87","w2400y7","w2400y","2009-07-20","NAD83 Zone 5",243009,2167746,2487,"Wet","Young",2400,1000,10.6,"pahoehoe"
"88","w2400y8","w2400y","2009-07-21","NAD83 Zone 5",243164,2168614,2403,"Wet","Young",2400,1000,10.6,"pahoehoe"
"89","w2400y9","w2400y","2009-07-21","NAD83 Zone 5",243144,2168631,2404,"Wet","Young",2400,1000,10.6,"pahoehoe"
"90","w2400y10","w2400y","2009-07-21","NAD83 Zone 5",243143,2168635,2402,"Wet","Young",2400,1000,10.6,"pahoehoe"
"91","w2400o1","w2400o","2009-07-19","NAD83 Zone 5",243396,2167416,2493,"Wet","Old",2400,1000,10.6,"pahoehoe"
"92","w2400o2","w2400o","2009-07-19","NAD83 Zone 5",243389,2167409,2502,"Wet","Old",2400,1000,10.6,"pahoehoe"
"93","w2400o3","w2400o","2009-07-19","NAD83 Zone 5",243424,2167530,2489,"Wet","Old",2400,1000,10.6,"pahoehoe"
"94","w2400o4","w2400o","2009-07-19","NAD83 Zone 5",243434,2167574,2487,"Wet","Old",2400,1000,10.6,"pahoehoe"
"95","w2400o5","w2400o","2009-07-19","NAD83 Zone 5",243396,2167536,2488,"Wet","Old",2400,1000,10.6,"pahoehoe"
"96","w2400o6","w2400o","2009-07-19","NAD83 Zone 5",243389,2167533,2486,"Wet","Old",2400,1000,10.6,"pahoehoe"
"97","w2400o7","w2400o","2009-07-19","NAD83 Zone 5",243399,2167547,2488,"Wet","Old",2400,1000,10.6,"pahoehoe"
"98","w2400o8","w2400o","2009-07-19","NAD83 Zone 5",243431,2167580,2472,"Wet","Old",2400,1000,10.6,"pahoehoe"
"99","w2400o9","w2400o","2009-07-19","NAD83 Zone 5",243508,2167619,2470,"Wet","Old",2400,1000,10.6,"pahoehoe"
"100","w2400o10","w2400o","2009-07-19","NAD83 Zone 5",243523,2167643,2474,"Wet","Old",2400,1000,10.6,"pahoehoe"
"101","d700y1","d700y","2009-07-19","NAD83 Zone 5",204315,2194565,697,"Dry","Young",700,500,18.9,"pahoehoe"
"102","d700y2","d700y","2009-07-19","NAD83 Zone 5",204304,2194565,693,"Dry","Young",700,500,18.9,"pahoehoe"
"103","d700y3","d700y","2009-07-19","NAD83 Zone 5",204312,2194580,693,"Dry","Young",700,500,18.9,"pahoehoe"
"104","d700y4","d700y","2009-07-19","NAD83 Zone 5",204287,2194587,688,"Dry","Young",700,500,18.9,"pahoehoe"
"105","d700y5","d700y","2009-07-19","NAD83 Zone 5",204334,2194595,690,"Dry","Young",700,500,18.9,"pahoehoe"
"106","d700y6","d700y","2009-07-19","NAD83 Zone 5",204253,2194607,689,"Dry","Young",700,500,18.9,"pahoehoe"
"107","d700y7","d700y","2009-07-19","NAD83 Zone 5",204329,2194617,691,"Dry","Young",700,500,18.9,"pahoehoe"
"108","d700y8","d700y","2009-07-19","NAD83 Zone 5",204299,2194628,687,"Dry","Young",700,500,18.9,"pahoehoe"
"109","d700y9","d700y","2009-07-19","NAD83 Zone 5",204318,2194639,692,"Dry","Young",700,500,18.9,"pahoehoe"
"110","d700y10","d700y","2009-07-19","NAD83 Zone 5",204265,2194654,693,"Dry","Young",700,500,18.9,"pahoehoe"
"111","d700o1","d700o","2009-07-19","NAD83 Zone 5",205061,2194880,703,"Dry","Old",700,500,18.9,"aa"
"112","d700o2","d700o","2009-07-19","NAD83 Zone 5",205136,2194919,701,"Dry","Old",700,500,18.9,"aa"
"113","d700o3","d700o","2009-07-19","NAD83 Zone 5",205085,2194857,698,"Dry","Old",700,500,18.9,"aa"
"114","d700o4","d700o","2009-07-19","NAD83 Zone 5",205148,2194900,700,"Dry","Old",700,500,18.9,"aa"
"115","d700o5","d700o","2009-07-19","NAD83 Zone 5",205122,2194856,704,"Dry","Old",700,500,18.9,"aa"
"116","d700o6","d700o","2009-07-19","NAD83 Zone 5",205196,2194902,707,"Dry","Old",700,500,18.9,"aa"
"117","d700o7","d700o","2009-07-19","NAD83 Zone 5",205137,2194843,710,"Dry","Old",700,500,18.9,"aa"
"118","d700o8","d700o","2009-07-19","NAD83 Zone 5",205156,2194865,705,"Dry","Old",700,500,18.9,"aa"
"119","d700o9","d700o","2009-07-19","NAD83 Zone 5",205141,2194818,710,"Dry","Old",700,500,18.9,"aa"
"120","d700o10","d700o","2009-07-19","NAD83 Zone 5",205177,2194828,728,"Dry","Old",700,500,18.9,"aa"
"121","d1700y1","d1700y","2009-11-17","NAD83 Zone 5",214977,2174259,1698,"Dry","Young",1700,550,14.4,"aa"
"122","d1700y2","d1700y","2009-11-17","NAD83 Zone 5",214951,2174256,1698,"Dry","Young",1700,550,14.4,"aa"
"123","d1700y3","d1700y","2009-11-17","NAD83 Zone 5",214936,2174287,1698,"Dry","Young",1700,550,14.4,"aa"
"124","d1700y4","d1700y","2009-11-17","NAD83 Zone 5",214906,2174290,1698,"Dry","Young",1700,550,14.4,"aa"
"125","d1700y5","d1700y","2009-11-17","NAD83 Zone 5",214923,2174331,1697,"Dry","Young",1700,550,14.4,"aa"
"126","d1700y6","d1700y","2009-11-17","NAD83 Zone 5",214943,2174350,1697,"Dry","Young",1700,550,14.4,"aa"
"127","d1700y7","d1700y","2009-11-17","NAD83 Zone 5",214920,2174369,1697,"Dry","Young",1700,550,14.4,"aa"
"128","d1700y8","d1700y","2009-11-17","NAD83 Zone 5",214923,2174377,1696,"Dry","Young",1700,550,14.4,"aa"
"129","d1700y9","d1700y","2009-11-17","NAD83 Zone 5",214907,2174446,1695,"Dry","Young",1700,550,14.4,"aa"
"130","d1700y10","d1700y","2009-11-17","NAD83 Zone 5",214880,2174455,1695,"Dry","Young",1700,550,14.4,"aa"
